S.no.,NAME OF STATE ,NAME OF DISTRICT,Recharge from rainfall During Monsoon Season,Recharge from other sources During Monsoon Season,Recharge from rainfall During Non Monsoon Season,Recharge from other sources During Non Monsoon Season,Total Annual Ground Water Recharge,Available Ground Water ,Current Annual Ground Water Extraction For Irrigation,Total Ground Water,Net Ground Water Availability for future use,Stage of Ground Water Extraction (%)
1,ANDHRA PRADESH,ANANTAPUR,89200.23,46136.12,1013.97,50415.31,186765.62,177427.31,142953.85,157838.79,59410.09,88.96
2,ANDHRA PRADESH,CHITTOOR,115718.55,32389.6,1204.19,38028.6,187340.94,177973.88,95256.5,104853.79,80858.36,58.92
3,ANDHRA PRADESH,EAST GODAVARI,104140.05,95383.56,3714.55,50847.53,254085.69,241381.36,41688.32,51106.47,193656.03,21.17
4,ANDHRA PRADESH,GUNTUR,52942.86,57011.9,2547.96,18800.39,131303.1,124737.95,39174.72,48117.07,79051.91,38.57
5,ANDHRA PRADESH,KADAPA,93311.68,15869.52,2048.53,11177.61,122407.34,116286.94,74888.06,79862.47,56568.63,68.68
6,ANDHRA PRADESH,KRISHNA,52891.68,70806.39,21641.6,17375.91,162715.57,154579.78,47223.03,56995.83,98790.07,36.87
7,ANDHRA PRADESH,KURNOOL,90024.09,43892.8,1203.46,26774.23,161894.57,153799.81,53291.48,64300.17,94278.99,41.81
8,ANDHRA PRADESH,NELLORE,128089.98,46637.76,5.16,93668.83,268401.73,254981.59,90301.92,96710.05,159531.34,37.93
9,ANDHRA PRADESH,PRAKASAM,39372.56,26669.85,56344.85,36593,158980.26,151031.21,54372.39,64629.64,94941.54,42.79
10,ANDHRA PRADESH,SRIKAKULAM,34847.68,35719.34,17837.37,19681.53,108085.91,102681.56,40762.37,49510.36,63919.93,48.22
11,ANDHRA PRADESH,VISAKHAPATNAM,61906.83,10809.63,6823.31,2690.68,82230.45,77691.9,12608.08,19104.57,59560.86,24.59
12,ANDHRA PRADESH,VIZIANAGARAM,59226.39,21945.67,6795.38,17486.23,105453.67,100180.9,20595.54,21106.97,77587.51,21.07
13,ANDHRA PRADESH,WEST GODAVARI,74662.56,58478.66,48.11,58931.01,192120.35,182514.32,71924.15,75567.04,113241.04,41.4
15,ARUNACHAL PRADESH,CHANGLANG,12375.64,696,13629.49,71.16,26772.29,23922.85,0,174,23350.98,0.73
17,ARUNACHAL PRADESH,EAST KAMENG,7281.63,233,2413.44,0,9928.07,8935.26,0,25,8766.2,0.28
18,ARUNACHAL PRADESH,EAST SIANG,56206.01,5327,20135.02,670.93,82338.96,69031.84,0,65,68855.68,0.09
20,ARUNACHAL PRADESH,LOHIT,55018.3,2311,31078.96,0,88408.26,79567.43,0,218.48,78900.96,0.27
21,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,39162.24,1749,20240.3,0,61151.54,55036.39,0,32,54973.98,0.06
22,ARUNACHAL PRADESH,LOWER SUBANSIRI,1358.9,1227,729.69,78.74,3394.33,2655.68,0,18,2550.48,0.68
23,ARUNACHAL PRADESH,PAPUM PARE,6076.25,1950,3165.94,3.53,11195.72,9746.46,0,99.4,9239.72,1.02
25,ARUNACHAL PRADESH,TIRAP,5204.06,819,1866.92,0,7889.98,7495.48,0,63,7360.23,0.84
27,ARUNACHAL PRADESH,UPPER SUBANSIRI,103.31,912,42.45,0,1057.76,951.98,0,16,844.74,1.68
28,ARUNACHAL PRADESH,WEST KAMENG,2976.01,318,668.99,0,3963,3566.7,0,11.72,3535.72,0.33
29,ARUNACHAL PRADESH,WEST SIANG,3148.38,2126,1125.57,0,6399.95,5759.95,0,21.9,5715.34,0.38
30,ASSAM,BAKSA,92583.69,1652.06,28843.21,1256.04,124335,107025.37,2548.56,5107.36,101465.32,4.77
31,ASSAM,BARPETA,110295.03,2216.29,26788.85,7861.3,147161.47,138867.99,24276,28683.4,109421.07,20.66
32,ASSAM,BONGAIGAON,43080.26,1088.59,14971.04,3252.26,62392.15,58584.99,10024.56,12021.11,46236.65,20.52
33,ASSAM,CACHAR,57788.78,1223.79,36771.75,1418.09,97202.41,56355.58,0,4628.94,50985.94,8.21
34,ASSAM,CHIRANG,67557.61,1956.57,26339.72,627.49,96481.38,86833.24,1522.08,2693.03,84031.49,3.1
35,ASSAM,DARRANG,44493.56,2048.29,17536.82,5974.18,70052.85,55085.97,15469.44,17834.6,36839.32,32.38
36,ASSAM,DHEMAJI,173356.96,296.11,39037.38,616.18,213306.63,185382.68,1631.28,3250.22,181874.23,1.75
37,ASSAM,DHUBRI,94570.56,2012.96,24694.29,6935.06,128212.87,115391.58,23570.4,28285.75,86172.85,24.51
38,ASSAM,DIBRUGARH,121093.52,513.27,48314.08,1614.29,171535.16,149087.98,4890.48,8353.23,140417.47,5.6
39,ASSAM,DIMA HASAO,1685.89,531.66,2107.09,131.74,4456.37,4010.74,337.68,832.38,3123.19,20.75
40,ASSAM,GOALPARA,69946.47,1721.96,24384.58,3473.62,99526.63,83886.27,9866.64,12159.24,71307.97,14.49
41,ASSAM,GOLAGHAT,81499.92,1472.98,35673.68,1444.32,120090.9,103611.38,3677.52,5658.49,97757.82,5.46
42,ASSAM,HAILAKANDI,17628.82,852.67,12101.28,1407.83,31990.6,20762.93,5.04,1025.49,19586.39,4.94
43,ASSAM,JORHAT,71479.54,698.57,36102.78,1526.48,109807.38,85782,4215.12,6494.45,79116.95,7.57
44,ASSAM,KAMRUP,61672.48,2243.34,25759.62,6174.53,95849.96,79810.13,20144.88,24110.95,55258.35,30.21
