NAME OF STATE ,NAME OF DISTRICT,Cumulative Actual (mm) (2017-2023),Cumulative Normal (mm)(2017-2023),Cumulative Deviation (mm) (2017-2023)
ANDHRA PRADESH,PRAKASAM,14681.65,6496.8,-125.98
ANDHRA PRADESH,VIZIANAGARAM,9771.07,9245.6,-5.68
ANDHRA PRADESH,WEST GODAVARI,14018.91,8814.4,-59.05
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,17960.98,7993.6,-124.69
ANDHRA PRADESH,ANANTAPUR,7434.95,4288.8,-73.36
ANDHRA PRADESH,KURNOOL,7626.6,5242.4,-45.48
ANDHRA PRADESH,KRISHNA,10141.9,8156,-24.35
ANDHRA PRADESH,SRIKAKULAM,10543.03,9255.2,-13.91
ANDHRA PRADESH,Y.S.R.,12392.56,5748,-115.6
ANDHRA PRADESH,CHITTOOR,19398.26,6729.6,-188.25
ANDHRA PRADESH,EAST GODAVARI,17513.75,8992,-94.77
ANDHRA PRADESH,VISAKHAPATNAM,15329.56,8889.6,-72.44
ANDHRA PRADESH,GUNTUR,13685.08,7228,-89.33
ARUNACHAL PRADESH,TIRAP,27076.34,31932.8,15.21
ARUNACHAL PRADESH,UPPER SUBANSIRI,50803.18,16712.8,-203.98
ARUNACHAL PRADESH,EAST KAMENG,20147.96,13272.8,-51.8
ARUNACHAL PRADESH,KURUNG KUMEY,29941.84,-,-
ARUNACHAL PRADESH,CHANGLANG,21840.98,31932.8,31.6
ARUNACHAL PRADESH,TAWANG,23774.92,13272.8,-79.13
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,30290.41,-,-
ARUNACHAL PRADESH,DIBANG VALLEY,42261.55,24861.6,-69.99
ARUNACHAL PRADESH,PAPUM PARE,21986.61,16712.8,-31.56
ARUNACHAL PRADESH,LOWER SUBANSIRI,31143.18,16712.8,-86.34
ARUNACHAL PRADESH,WEST KAMENG,20775.83,13272.8,-56.53
ARUNACHAL PRADESH,EAST SIANG,46506.14,33375.2,-39.34
ARUNACHAL PRADESH,UPPER SIANG,61214.83,33375.2,-83.41
ARUNACHAL PRADESH,ANJAW,20581.8,-,-
ARUNACHAL PRADESH,LOHIT,22661.02,24861.6,8.85
ARUNACHAL PRADESH,WEST SIANG,62154.6,33375.2,-86.23
ASSAM,LAKHIMPUR,28172.89,26162.4,-7.68
ASSAM,KARIMGANJ,28846.81,30008,3.87
ASSAM,SONITPUR,19419.84,15829.6,-22.68
ASSAM,HAILAKANDI,27020.2,22706.4,-19
ASSAM,KOKRAJHAR,28802.63,24819.2,-16.05
ASSAM,TINSUKIA,22914.08,18580.8,-23.32
ASSAM,KAMRUP METROPOLITAN,12059.45,-,-
ASSAM,CHIRANG,27240.65,-,-
ASSAM,JORHAT,19914.97,18122.4,-9.89
ASSAM,UDALGURI,21653.76,-,-
ASSAM,KARBI ANGLONG,13581.08,8977.6,-51.28
ASSAM,GOLAGHAT,14882.13,14013.6,-6.2
ASSAM,NAGAON,13768.59,15078.4,8.69
ASSAM,NALBARI,18764.75,15169.6,-23.7
ASSAM,SIVASAGAR,24182.8,19299.2,-25.3
ASSAM,DHEMAJI,33793.43,-,-
ASSAM,KAMRUP,17716.7,15169.6,-16.79
ASSAM,DIMA HASAO,22004.09,22334.4,1.48
ASSAM,DARRANG,13688.88,15609.6,12.3
ASSAM,DIBRUGARH,26035.96,21195.2,-22.84
ASSAM,BARPETA,25419.91,16411.2,-54.89
ASSAM,DHUBRI,29086.18,22022.4,-32.08
ASSAM,BONGAIGAON,25539.66,24819.2,-2.9
ASSAM,MARIGAON,12188.23,15078.4,19.17
ASSAM,BAKSA,27168.61,-,-
ASSAM,GOALPARA,25289.13,20665.6,-22.37
ASSAM,CACHAR,26720.68,26495.2,-0.85
BIHAR,BEGUSARAI,14174.69,8553.6,-65.72
BIHAR,KHAGARIA,11338.46,9865.6,-14.93
BIHAR,GAYA,16721.86,8692.8,-92.36
BIHAR,SHEOHAR,14940.35,-,-
BIHAR,DARBHANGA,14291.59,9253.6,-54.44
BIHAR,PURNIA,15488.91,11880.8,-30.37
BIHAR,PASHCHIM CHAMPARAN,16186.67,12120.8,-33.54
BIHAR,BANKA,14881.2,-,-
BIHAR,LAKHISARAI,13454.54,-,-
BIHAR,MADHEPURA,13568.85,11289.6,-20.19
BIHAR,SITAMARHI,13656.42,10384.8,-31.5
BIHAR,VAISHALI,14057.68,-,-
BIHAR,SAHARSA,12133.99,10412,-16.54
BIHAR,PURBA CHAMPARAN,16746.76,9621.6,-74.05
BIHAR,MUZAFFARPUR,11383.85,9588.8,-18.72
BIHAR,SAMASTIPUR,14594.7,8958.4,-62.92
BIHAR,SUPAUL,12589.51,10412,-20.91
BIHAR,BHAGALPUR,16489.78,9669.6,-70.53
BIHAR,NALANDA,18699.16,8291.2,-125.53
BIHAR,BUXAR,10353.4,7636,-35.59
BIHAR,JEHANABAD,15821,-,-
BIHAR,MADHUBANI,13286.68,9480,-40.15
BIHAR,MUNGER,11946.27,9168,-30.3
BIHAR,GOPALGANJ,16073.86,8721.6,-84.3
BIHAR,SIWAN,13769.5,9042.4,-52.28
BIHAR,KISHANGANJ,16061.09,17132,6.25
BIHAR,KAIMUR (BHABUA),9883.07,9314.4,-6.11
BIHAR,JAMUI,14596.12,-,-
BIHAR,SHEIKHPURA,17723.03,-,-
BIHAR,NAWADA,23315,-,-
BIHAR,ARWAL,14958.38,-,-
BIHAR,BHOJPUR,13234.85,8226.4,-60.88
BIHAR,ROHTAS,11050.98,8936.8,-23.66
BIHAR,SARAN (CHHAPRA),14866.23,9294.4,-59.95
BIHAR,KATIHAR,19289.93,11095.2,-73.86
BIHAR,PATNA,14953.52,8445.6,-77.06
BIHAR,AURANGABAD,12414.53,8374.4,-48.24
BIHAR,ARARIA,12928.02,-,-
CHANDIGARH,CHANDIGARH,5582.31,8621.6,35.25
CHHATTISGARH,BILASPUR,12133.92,10130.4,-19.78
CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,20793.43,11892.8,-74.84
CHHATTISGARH,KABEERDHAM,12414.26,8835.2,-40.51
CHHATTISGARH,JANJGIR-CHAMPA,17697.01,10838.4,-63.28
CHHATTISGARH,KORIYA,9684.82,10520.8,7.95
CHHATTISGARH,KORBA,13762.93,11458.4,-20.11
CHHATTISGARH,RAJNANDGAON,11408.34,9706.4,-17.53
CHHATTISGARH,RAIPUR,13998.58,10013.6,-39.8
CHHATTISGARH,BIJAPUR,17680.46,5040,-250.8
CHHATTISGARH,DURG,12443.16,9269.6,-34.24
CHHATTISGARH,BASTAR,15992.17,12156,-31.56
CHHATTISGARH,DHAMTARI,13624.47,9640,-41.33
CHHATTISGARH,JASHPUR,13225.56,13772,3.97
CHHATTISGARH,MAHASAMUND,15113.1,10076,-49.99
CHHATTISGARH,RAIGARH,20648.17,11952.8,-72.75
CHHATTISGARH,SURGUJA,11422.88,10510.4,-8.68
CHHATTISGARH,UTTAR BASTAR KANKER,12416.26,11531.2,-7.68
CHHATTISGARH,NARAYANPUR,14961.63,-,-
DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,21644.24,-,-
DAMAN & DIU,DIU,7843.43,5000,-56.87
DAMAN & DIU,DAMAN,14443.75,-,-
DELHI,WEST,5129.19,-,-
DELHI,CENTRAL,4516.52,6352,28.9
DELHI,NORTH WEST,5295.38,-,-
DELHI,SOUTH,4841.81,-,-
DELHI,NEW DELHI,4715.93,-,-
DELHI,NORTH,4816.47,-,-
DELHI,EAST,4688.72,-,-
DELHI,SOUTH WEST,5143.13,-,-
DELHI,NORTH EAST,4734.62,-,-
GOA,SOUTH GOA,19534.15,24361.6,19.82
GOA,NORTH GOA,15712.36,-,-
GUJARAT,GANDHINAGAR,8841.29,6109.6,-44.71
GUJARAT,NARMADA,12433.55,9237.6,-34.6
GUJARAT,JAMNAGAR,11608.8,4002.4,-190.05
GUJARAT,VADODARA,23552.01,8124,-189.91
GUJARAT,NAVSARI,19213.97,14822.4,-29.63
GUJARAT,SURENDRANAGAR,9893.89,4250.4,-132.78
GUJARAT,BHARUCH,17109.93,7243.2,-136.22
GUJARAT,VALSAD,25856.39,16100.8,-60.59
GUJARAT,AMRELI,11193.51,4535.2,-146.81
GUJARAT,ANAND,6280.72,6883.2,8.75
GUJARAT,BHAVNAGAR,12017.77,4864,-147.08
GUJARAT,KHEDA,6425.78,6956.8,7.63
GUJARAT,PATAN,22777.66,4637.6,-391.15
GUJARAT,THE DANGS,24016.31,16375.2,-46.66
GUJARAT,TAPI,17593.12,-,-
GUJARAT,PANCH MAHALS,37078.88,7969.6,-365.25
GUJARAT,SURAT,15758.04,11598.4,-35.86
GUJARAT,SABAR KANTHA,9593.49,6344,-51.22
GUJARAT,BANAS KANTHA,16455.85,5334.4,-208.49
GUJARAT,MAHESANA,18059.1,5734.4,-214.93
GUJARAT,DOHAD,118480.58,7032,-1584.88
GUJARAT,AHMADABAD,8789.59,5559.2,-58.11
GUJARAT,PORBANDAR,11547.68,5375.2,-114.83
GUJARAT,JUNAGADH,10943.5,6680,-63.82
GUJARAT,KACHCHH,9635.67,3242.4,-197.18
GUJARAT,RAJKOT,10894.81,4908.8,-121.94
HARYANA,KAITHAL,5479.85,4663.2,-17.51
HARYANA,ROHTAK,5671.24,4804,-18.05
HARYANA,GURGAON,5031,4665.6,-7.83
HARYANA,MAHENDRAGARH,5026.55,4015.2,-25.19
HARYANA,SIRSA,4308.68,2560.8,-68.26
HARYANA,PALWAL,4514.99,-,-
HARYANA,AMBALA,6251.56,7702.4,18.84
HARYANA,REWARI,5146.28,4493.6,-14.52
HARYANA,FARIDABAD,4582.58,4171.2,-9.86
HARYANA,PANIPAT,6041.84,4920.8,-22.78
HARYANA,PANCHKULA,6152.86,8895.2,30.83
HARYANA,KARNAL,6301.3,5790.4,-8.82
HARYANA,FATEHABAD,4826.12,3008.8,-60.4
HARYANA,JHAJJAR,5490.64,3533.6,-55.38
HARYANA,KURUKSHETRA,6095.97,5564.8,-9.55
HARYANA,HISAR,5176.52,3323.2,-55.77
HARYANA,BHIWANI,5540.45,3420,-62
HARYANA,JIND,5509.18,4232,-30.18
HARYANA,YAMUNANAGAR,7643.3,8869.6,13.83
HARYANA,SONIPAT,5706.66,5029.6,-13.46
HARYANA,MEWAT,4584.5,-,-
HIMACHAL PRADESH,KULLU,10601.29,7712,-37.46
HIMACHAL PRADESH,HAMIRPUR,8354.49,11483.2,27.25
HIMACHAL PRADESH,KANGRA,9511.79,16030.4,40.66
HIMACHAL PRADESH,CHAMBA,7951.43,12199.2,34.82
HIMACHAL PRADESH,UNA,7890.54,8678.4,9.08
HIMACHAL PRADESH,SHIMLA,11399.9,8840,-28.96
HIMACHAL PRADESH,MANDI,10768.36,12429.6,13.37
HIMACHAL PRADESH,KINNAUR,8258.14,5872,-40.64
HIMACHAL PRADESH,BILASPUR,9070.13,10064.8,9.88
HIMACHAL PRADESH,SOLAN,9031.82,11537.6,21.72
HIMACHAL PRADESH,SIRMAUR,10893.78,13574.4,19.75
HIMACHAL PRADESH,LAHUL & SPITI,9269.83,10470.4,11.47
JAMMU & KASHMIR,SAMBA,-,-,-
JAMMU & KASHMIR,ANANTNAG,5341.81,7648.8,30.16
JAMMU & KASHMIR,RAJOURI,-,-,-
JAMMU & KASHMIR,JAMMU,4600.32,9999.2,53.99
JAMMU & KASHMIR,KATHUA,4328.83,10805.6,59.94
JAMMU & KASHMIR,UDHAMPUR,4672.88,15083.2,69.02
JAMMU & KASHMIR,J&K DISTRICT 1,5302.02,-,-
JAMMU & KASHMIR,DODA,4688,10146.4,53.8
JHARKHAND,DHANBAD,19251.92,10364.8,-85.74
JHARKHAND,JAMTARA,24847.16,-,-
JHARKHAND,DUMKA,22622.43,11550.4,-95.86
JHARKHAND,GARHWA,12156.07,-,-
JHARKHAND,PASHCHIMI SINGHBHUM,16397.49,10699.2,-53.26
JHARKHAND,RAMGARH,19141.39,-,-
JHARKHAND,CHATRA,18545.73,-,-
JHARKHAND,LOHARDAGA,19090.29,-,-
JHARKHAND,GODDA,18761.17,-,-
JHARKHAND,PALAMU,13211.62,9569.6,-38.06
JHARKHAND,RANCHI,20095.44,10585.6,-89.84
JHARKHAND,PURBI SINGHBHUM,16287.27,11227.2,-45.07
JHARKHAND,DEOGHAR,21659.05,-,-
JHARKHAND,KODARMA,22924.44,8927.2,-156.79
JHARKHAND,SAHIBGANJ,19713.29,11284.8,-74.69
